	mock1_1	mock2_1	salt_1h_1	salt_2h_1	heat_1h_1	heat_2h_1	mock1_2	mock2_2	salt_1h_2	salt_2h_2	heat_1h_2	heat_2h_2
ENSG00000160752	7.6175	9.1389	4.9456	5.353	6.8499	3.8697	6.95	7.2989	4.0829	4.9697	5.4793	2.8962
ENSG00000160753	1.6094	1.8733	1.0762	1.1892	2.5069	1.7199	2.2844	2.0883	0.9294	1.9045	1.9313	1.2535
ENSG00000116539	7.7826	7.247	6.1539	7.2024	8.0549	6.3513	7.2963	7.4111	5.9	5.6999	8.5615	5.9092
ENSG00000125459	1.3075	1.6577	0.3337	0.3173	0.5573	0.5205	1.8256	1.3629	0.2741	0.2671	0.563	0.4271
ENSG00000163374	5.2219	5.8514	3.3637	4.1486	4.2866	3.324	4.3975	5.145	2.7657	3.8026	4.242	2.3633
ENSG00000132676	4.6458	4.9528	1.8577	2.4764	3.6404	1.9441	4.0043	4.4052	1.6223	1.4071	3.5454	1.4405
ENSG00000116580	3.8167	3.8968	2.0058	1.8914	3.3126	2.3345	3.4796	3.6762	1.8046	1.9062	3.457	2.2491
ENSG00000132718	3.2156	3.4834	1.8292	1.7331	2.95	1.6337	3.3493	3.3645	1.6634	1.4323	2.9559	1.2244
ENSG00000143622	7.1187	6.4183	5.2981	8.0565	4.911	4.8479	6.3267	6.8603	5.0855	6.6381	5.222	4.1709
ENSG00000132680	6.5472	6.3266	3.0598	4.3823	5.6336	3.9352	5.8049	5.6538	3.0328	3.9732	6.1156	4.3768
ENSG00000173080	0	0.017	0.0244	0	0.0241	0.0241	0	0	0	0.0555	0	0.0281
ENSG00000116584	6.8734	7.315	4.5771	5.6922	4.3822	2.248	8.7628	8.5735	4.3105	5.7095	5.5061	1.9282
ENSG00000163479	5.9097	5.8365	3.1092	3.5676	4.5069	2.5452	5.5358	5.2682	2.3707	2.1422	3.4792	2.0359
ENSG00000160803	3.0255	3.0225	2.0033	2.2322	2.5528	1.531	2.8117	2.7601	1.6289	2.0666	2.3339	0.9893
ENSG00000116586	3.7169	3.3389	1.8073	1.6931	2.8845	2.0548	3.5835	3.5247	1.1237	1.9462	2.8117	1.8833
ENSG00000132698	0.0193	0.023	0.0331	0	0.1637	0.1635	0	0	0.087	0	0.221	0.1909
ENSG00000254726	2.5226	2.4885	1.6154	2.2339	1.305	0.5952	1.6097	1.9226	0.7756	1.1009	1.0157	0.4212
ENSG00000160789	17.5158	20.1955	12.0541	11.0542	14.9447	9.2788	22.4741	17.8298	8.9173	12.1292	12.3874	5.6541
ENSG00000196189	0.083	0.0699	1.5781	2.8828	2.4438	3.6277	0.1119	0.0424	1.9438	4.5065	1.9474	3.0424
ENSG00000160785	3.1024	3.3126	1.9961	3.8363	2.2357	3.2927	3.1818	3.2579	1.983	4.1453	2.0816	2.7244
ENSG00000260238	0	0.0386	0.0278	0	0	0.0274	0	0	0	0.0316	0.0309	0.064
ENSG00000160783	1.435	1.6247	0.9906	1.0959	1.3723	1.2159	1.672	1.4331	0.8405	1.3291	1.2534	1.1188
ENSG00000242252	0.0822	0.196	0.3053	0.1624	0.1859	0.2321	0.1883	0.1058	0.4115	0.8819	0.3398	0.298
ENSG00000160781	0.1687	0.2851	1.2297	0.8169	0.9186	1.3939	0.3222	0.2716	1.0563	1.0839	0.8721	1.9333
ENSG00000198952	6.1523	7.0642	3.3852	3.2253	4.8397	4.5522	6.6972	6.4114	2.4078	2.4925	5.1212	4.2031
ENSG00000163472	0.4888	0.4563	0.3189	0.2268	0.6221	0.2341	0.5357	0.6056	0.1916	0.4977	0.7504	0.2523
ENSG00000198715	2.9215	3.0508	1.5082	1.3066	4.5802	6.7496	3.9843	3.6716	1.2607	1.5388	4.9875	6.82
ENSG00000189030	0.0643	0.1534	0.248	0.1906	4.636	8.7965	0.1473	0.0931	0.5312	0.4077	5.1837	11.6051
ENSG00000163468	11.2666	11.7221	6.2664	7.2136	16.0768	20.6803	10.799	9.7783	4.4117	3.8388	15.2646	18.5993
ENSG00000163467	0.0585	0	0.0251	0.0347	0.0744	0.0991	0	0	0	0.057	0.1116	0.1735
ENSG00000132677	0	0	0	0	0	0	0.0221	0	0	0.0188	0	0
ENSG00000237390	0	0	0.005	0	0	0.0049	0	0.0056	0	0.0057	0.0056	0
ENSG00000125462	0	0.0016	0.1271	0.0973	0.0157	0.1816	0	0.0026	0.1591	0.3693	0.0025	0.0628
ENSG00000236947	0	0.0393	0.7621	0.8198	0.3631	0.53	0.1509	0.159	1.4839	2.1202	0.5969	0.4885
ENSG00000116604	5.3165	5.9956	4.2791	3.8525	3.9621	2.0668	7.5032	7.1326	4.1929	4.9245	4.7868	1.7178
ENSG00000260460	0	0	0	0	0.0151	0.0453	0	0.0172	0.0536	0.0174	0	0.0176
ENSG00000183856	12.5879	15.2146	9.1188	8.4032	11.8699	6.828	10.6451	9.4791	5.6144	6.0992	7.5149	3.7203
ENSG00000187862	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163382	1.0622	1.619	0.824	0.5598	0.9871	0.6286	1.1977	1.4984	0.532	0.4278	0.8367	0.5004
ENSG00000160818	5.5751	5.5025	3.2499	3.3968	4.213	2.9563	4.1743	4.8461	2.2293	2.3438	3.631	2.456
ENSG00000272971	0	0	0	0	0	0.0505	0	0	0	0	0	0.0589
ENSG00000132702	0	0	0.0125	0	0.0123	0.0123	0	0	0	0	0	0
ENSG00000272068	0	0	0.0173	0.024	0.0515	0.3	0	0.0098	0	0	0.0193	0.3702
ENSG00000132692	0	0	0.0113	0.0078	0	0.0056	0	0	0	0	0	0
ENSG00000132688	25.6192	25.3141	15.3149	14.5807	27.2297	17.837	27.3575	25.9421	12.6429	12.4453	28.4832	15.9285
ENSG00000237588	0	0.0047	0.0475	0.0281	0.1945	0.4623	0.0181	0	0.0594	0.1157	0.3471	0.524
ENSG00000143320	10.0737	10.8856	8.5867	10.1883	10.8851	8.1841	20.8431	20.1196	9.5265	12.9235	17.9827	10.434
ENSG00000143319	3.2827	3.3543	2.119	2.5411	2.4331	1.905	3.7611	3.2666	1.7588	2.1516	2.0865	1.6481
ENSG00000143303	0.9667	1.2023	0.4233	0.2683	1.0558	0.8191	1.3904	1.1722	0.3399	0.2509	1.1777	0.7325
ENSG00000143314	4.384	4.1171	5.589	5.6771	3.9644	2.4438	4.0095	3.919	3.669	4.0152	3.0643	2.6629
ENSG00000143321	17.061	16.7459	12.8812	12.5419	12.1336	6.5285	14.0103	15.176	6.977	7.4346	10.4467	4.8232
ENSG00000143294	3.2147	3.7495	2.2187	2.5977	2.3235	0.9752	3.856	3.5499	1.5146	1.9364	1.8861	1.0286
ENSG00000027869	0	0	0.0111	0	0.011	0.011	0	0.0125	0	0.0253	0.0124	0
ENSG00000198400	0.0075	0.0045	0.1219	0.1065	0.0063	0.019	0	0	0.0787	0.1533	0.0071	0.0074
ENSG00000027644	0	0	0.0055	0.0682	0	0	0	0	0	0.106	0	0.0063
ENSG00000187800	4.6559	5.9651	3.1381	2.2153	5.0755	2.8963	6.3878	5.3172	2.6211	2.1394	4.3307	2.1221
ENSG00000160838	0.0495	0.2216	0.4249	0.2791	0.4519	0.5458	0.1419	0.2154	0.242	0.2538	0.3192	0.4902
ENSG00000132694	3.2376	3.8641	2.0292	1.7817	3.5567	2.0935	4.1667	3.8916	1.6528	1.7506	3.391	1.761
ENSG00000253831	0	0.0098	0.0141	0.0196	0	0.028	0	0	0	0.0161	0.0157	0
ENSG00000117036	6.5358	6.3732	3.2916	3.2901	4.3332	2.5939	5.6231	6.0832	2.2487	2.2096	4.2802	2.4419
ENSG00000229961	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228239	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271736	0	0	0	0	0	0	0	0	0	0	0	0.0513
ENSG00000143297	0	0	0	0	0	0.0022	0	0	0	0	0	0
ENSG00000163518	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160856	0	0	0	0	0.0042	0	0	0	0	0	0	0
ENSG00000132704	0	0	0	0	0	0.0055	0	0	0.0097	0	0	0
ENSG00000163534	0	0	0	0	0	0	0.019	0	0	0	0	0
ENSG00000073754	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183853	12.4619	13.3541	10.2841	10.7807	12.1156	8.1105	14.0598	13.3453	8.292	9.5344	12.3587	7.7569
ENSG00000231666	0	0	0	0	0	0.0331	0	0	0	0	0	0
ENSG00000158473	0.0145	0.0173	0.3845	1.2865	0	0.0368	0.0331	0	0.326	1.6939	0	0
ENSG00000176320	0	0	0	0	0.0138	0	0	0	0	0	0	0
ENSG00000158477	0	0	0	0.7191	0	0	0	0	0.0234	1.7297	0	0.0154
ENSG00000158481	0	0	0	0.5386	0	0	0	0	0	1.7508	0	0
ENSG00000158488	0	0	0	0.1536	0	0	0	0	0	0.5862	0	0
ENSG00000180708	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173285	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186400	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163554	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163563	0.0158	0.0094	0.0136	0	0	0	0	0	0	0	0	0
