"GFP-1" "GFP-2" "GFP-3" "HS-GFP-1" "HS-GFP-2" "HS-GFP-3" "WT-1" "WT-2" "WT-3" "HS-WT-1" "HS-WT-2" "HS-WT-3"
"ENSG00000049245" 2150 2199 2839 3632 2760 4833 2568 2529 2801 2152 1807 1451
"ENSG00000179743" 27 31 30 14 23 21 49 31 48 45 41 30
"ENSG00000233645" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000234064" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000204624" 2 6 14 10 5 6 5 12 11 13 5 7
"ENSG00000284708" 2 5 3 8 7 2 2 3 2 3 2 3
"ENSG00000171603" 3558 4616 5608 5024 3773 6282 5608 5730 6453 4296 3755 2999
"ENSG00000280113" 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000142606" 11 23 16 6 2 11 9 19 14 7 9 5
"ENSG00000235146" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000162572" 55 66 75 71 47 74 80 89 94 152 112 106
"ENSG00000225931" 1 0 0 0 0 0 0 0 0 0 2 1
"ENSG00000236601" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000171729" 119 166 199 278 221 349 144 175 193 66 80 60
"ENSG00000228150" 9 16 13 7 6 15 11 16 10 11 2 6
"ENSG00000175262" 0 0 1 0 0 0 0 1 0 1 0 0
"ENSG00000279457" 33 49 55 81 52 67 41 35 33 23 21 17
"ENSG00000162571" 0 0 0 0 0 1 0 0 0 4 3 5
"ENSG00000231181" 14 12 8 4 3 10 8 10 10 17 17 22
"ENSG00000238173" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000158109" 770 1014 1192 1396 1095 1768 1075 1119 1341 538 472 391
"ENSG00000229393" 0 3 2 3 1 2 1 1 2 2 0 3
"ENSG00000269978" 2 0 4 1 0 1 3 1 6 2 2 0
"ENSG00000037637" 391 471 591 903 732 1204 553 577 599 282 237 180
"ENSG00000184163" 8 16 12 73 34 82 11 19 16 22 11 8
"ENSG00000287586" 1 3 5 0 1 0 0 1 3 0 0 1
"ENSG00000159423" 267 388 483 359 347 489 322 347 407 236 204 187
"ENSG00000142599" 888 1040 1309 1254 882 1435 1304 1367 1497 689 593 490
"ENSG00000227169" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000283356" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000011021" 296 416 479 2040 1433 2467 430 423 494 671 612 467
"ENSG00000272482" 1 3 3 2 1 1 2 5 6 1 1 3
"ENSG00000284747" 25 14 37 65 46 75 25 33 32 97 86 81
"ENSG00000215912" 27 33 63 4 5 5 51 46 63 8 14 6
"ENSG00000120952" 0 0 0 0 0 0 0 0 0 5 1 2
"ENSG00000243073" 0 0 0 0 0 0 0 0 0 3 7 7
"ENSG00000142615" 0 1 0 14 15 20 0 0 1 5 4 6
"ENSG00000215704" 5 3 3 21 16 22 6 8 4 2 1 1
"ENSG00000065526" 2116 2629 3202 10988 7136 12411 2524 2593 2900 7959 7073 5512
"ENSG00000157916" 1991 2367 2956 2568 2224 3720 2542 2607 2943 2857 2452 1926
"ENSG00000157881" 510 736 869 773 528 916 638 642 726 115 115 89
"ENSG00000116213" 622 857 1065 1024 779 1243 741 773 903 654 535 489
"ENSG00000283611" 0 5 2 1 0 1 2 4 3 3 1 2
"ENSG00000238290" 2 0 0 1 0 0 1 1 1 2 2 1
"ENSG00000225387" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000048707" 1526 1730 2194 1860 1424 2562 2215 2139 2425 1500 1365 1028
"ENSG00000158748" 3 6 4 1 4 3 4 9 9 2 9 4
"ENSG00000235643" 1 0 3 19 15 17 0 0 2 79 81 70
"ENSG00000225196" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000130762" 325 574 689 318 232 422 512 530 645 333 260 227
"ENSG00000162444" 311 360 445 474 357 604 259 293 274 409 292 260
"ENSG00000279169" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000279625" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000180758" 359 463 573 589 489 873 438 412 500 576 505 421
"ENSG00000231219" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000184677" 777 992 1171 1262 811 1560 997 1028 1196 710 654 531
"ENSG00000230679" 2 0 2 1 0 0 3 6 3 2 3 1
"ENSG00000270136" 0 0 0 0 0 0 0 0 2 0 1 0
"ENSG00000132879" 333 508 561 736 601 942 524 582 649 511 426 366
"ENSG00000187545" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000288398" 77 107 157 66 35 60 144 126 136 47 28 24
"ENSG00000224621" 11 20 20 12 14 10 22 23 16 26 18 10
"ENSG00000239810" 0 0 0 0 0 0 0 0 0 1 1 0
"ENSG00000285833" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000116721" 0 0 0 0 0 0 0 0 0 2 0 0
"ENSG00000215785" 0 0 0 0 0 1 0 0 0 1 0 0
"ENSG00000131697" 410 536 627 785 620 971 532 571 662 335 263 241
"ENSG00000284692" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000284745" 0 0 0 0 0 0 0 0 0 1 1 0
"ENSG00000225952" 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000280222" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000188807" 709 1178 1284 2025 1506 2498 890 958 1134 463 379 351
"ENSG00000227634" 0 1 1 0 0 0 3 3 3 1 0 1
"ENSG00000198793" 2764 3454 4139 2776 2108 3573 3289 3332 3899 3146 2693 2187
"ENSG00000078900" 203 282 347 433 318 515 310 347 388 162 139 99
"ENSG00000285945" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000171819" 0 0 0 2 2 0 0 0 1 2 2 1
"ENSG00000229162" 3 2 2 3 1 3 2 1 3 5 3 4
"ENSG00000197921" 6 7 4 1 1 3 4 4 3 37 17 14
"ENSG00000233755" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000116288" 4124 4757 5916 4403 4073 7372 4523 4414 4934 6296 5263 4509
"ENSG00000238164" 0 0 0 2 0 1 0 1 1 4 6 3
"ENSG00000233929" 0 0 1 4 6 12 2 0 0 2 0 0
"ENSG00000271742" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000226396" 18 14 24 69 58 106 24 18 13 25 11 17
"ENSG00000232423" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229247" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000169504" 3660 3991 5112 6505 5176 9480 5451 5529 5930 6509 6099 4680
"ENSG00000224311" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000225159" 0 3 5 4 3 8 3 3 3 5 0 3
"ENSG00000272088" 1 1 1 4 0 0 3 3 2 24 14 14
"ENSG00000228338" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000181773" 24 31 39 27 22 46 26 32 30 59 48 29
"ENSG00000241547" 5 10 12 135 82 158 11 12 13 57 37 44
"ENSG00000224129" 0 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000234166" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237436" 4 3 4 4 0 1 7 4 5 10 4 2
"ENSG00000233954" 62 78 105 147 121 190 67 62 73 101 65 84
"ENSG00000174950" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000235282" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000055070" 1629 2161 2542 3877 3018 4908 1909 1999 2214 964 838 691
"ENSG00000175087" 267 302 319 265 225 422 304 324 348 171 127 93
"ENSG00000171735" 568 636 859 678 573 930 756 724 930 1259 1029 891
"ENSG00000157191" 517 639 752 563 422 696 655 708 726 283 216 173
"ENSG00000284699" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229985" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000230035" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000235185" 0 1 0 0 2 0 0 0 1 1 1 0
"ENSG00000236782" 8 13 7 6 7 5 11 4 14 32 28 17
"ENSG00000116663" 170 212 265 239 174 331 210 202 253 221 179 139
"ENSG00000225643" 0 0 0 0 3 2 1 2 0 0 1 0
"ENSG00000284666" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243659" 0 0 0 0 0 0 0 1 0 6 0 1
"ENSG00000228943" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232848" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000234397" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000284309" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000269925" 10 11 16 16 17 39 19 20 22 8 17 3
"ENSG00000162511" 0 0 0 0 2 2 0 0 0 55 31 36
"ENSG00000158014" 0 1 0 0 2 1 0 0 0 0 0 0
"ENSG00000204138" 1165 1335 1591 1829 1145 1945 1146 1126 1322 1095 940 751
"ENSG00000233419" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000235263" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000228176" 0 0 0 0 0 0 0 0 0 0 1 0
