"GFP-1" "GFP-2" "GFP-3" "HS-GFP-1" "HS-GFP-2" "HS-GFP-3" "WT-1" "WT-2" "WT-3" "HS-WT-1" "HS-WT-2" "HS-WT-3"
"ENSG00000253219" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249601" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000234511" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000145936" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000043462" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000288615" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250274" 0 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000170445" 2202 2717 3321 3444 2643 4904 2411 2494 2828 2048 1826 1457
"ENSG00000207317" 0 1 0 0 0 0 1 0 0 0 0 0
"ENSG00000245146" 128 118 152 61 42 72 202 223 216 241 204 180
"ENSG00000185129" 947 1099 1402 1257 969 1771 1180 1163 1251 1038 920 665
"ENSG00000182700" 84 89 119 47 52 87 132 111 125 29 39 22
"ENSG00000254363" 0 0 1 4 0 2 1 6 4 2 1 1
"ENSG00000120306" 1566 2056 2404 2757 2072 3321 2317 2427 2766 4075 3336 2846
"ENSG00000250069" 0 0 2 4 3 10 0 0 0 3 1 4
"ENSG00000113068" 665 694 892 998 714 1270 721 746 780 602 483 411
"ENSG00000113070" 78 79 125 201 136 246 102 113 126 5881 5185 4073
"ENSG00000258864" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000153037" 343 330 427 1800 1272 2283 432 403 452 593 495 392
"ENSG00000129625" 2525 2824 3507 2891 2192 4002 3082 3097 3351 3858 3290 2723
"ENSG00000249947" 4 7 3 25 16 29 9 3 5 31 24 19
"ENSG00000212643" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000145700" 6 5 18 1 1 3 15 15 3 9 9 1
"ENSG00000253321" 0 0 0 1 0 1 0 0 0 0 1 0
"ENSG00000260871" 1 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000255647" 3 2 1 1 0 1 0 0 0 4 1 1
"ENSG00000176055" 114 117 175 165 126 247 127 122 124 32 36 23
"ENSG00000113356" 175 201 267 296 190 378 116 133 155 134 128 95
"ENSG00000176018" 282 290 363 415 279 604 380 363 395 411 343 292
"ENSG00000280776" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000113327" 2 0 1 1 1 5 1 0 0 3 1 0
"ENSG00000244073" 8 14 10 5 5 11 19 11 29 1 0 3
"ENSG00000271378" 3 1 3 4 2 8 4 4 4 8 9 4
"ENSG00000228212" 0 3 4 0 0 3 3 3 2 0 0 1
"ENSG00000242493" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000270558" 21 30 30 139 103 180 18 28 34 30 28 34
"ENSG00000251880" 3 2 1 25 14 30 1 3 2 3 3 0
"ENSG00000250539" 86 94 109 85 58 116 88 88 106 55 42 48
"ENSG00000249400" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000168944" 522 666 708 750 531 916 674 689 796 459 444 317
"ENSG00000253146" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000264760" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221552" 0 0 0 0 0 0 1 0 1 0 0 0
"ENSG00000274472" 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000272197" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241187" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000170271" 26 27 37 114 91 133 33 28 32 36 38 40
"ENSG00000277039" 1 0 1 1 2 4 1 1 0 0 0 0
"ENSG00000263361" 0 0 0 1 1 2 1 0 1 0 0 0
"ENSG00000082516" 1722 2114 2443 4051 3036 5297 1552 1535 1721 481 427 312
"ENSG00000199279" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000268942" 14 15 18 35 20 34 17 16 12 34 26 23
"ENSG00000241991" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240436" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000186105" 1 0 0 12 12 18 0 0 1 5 10 4
"ENSG00000145864" 250 252 343 108 91 132 395 373 405 313 250 188
"ENSG00000068796" 720 765 947 988 789 1358 901 922 1039 450 362 327
"ENSG00000288643" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000205089" 6 11 7 2 6 2 8 6 8 5 1 1
"ENSG00000187678" 234 296 343 605 426 710 280 277 310 1606 1353 1131
"ENSG00000196670" 515 578 663 613 443 832 572 565 589 354 289 257
"ENSG00000178187" 0 0 0 0 0 1 0 0 0 1 1 0
"ENSG00000145725" 1562 1707 2146 1393 1110 2057 1985 1941 2134 1591 1546 1147
"ENSG00000131446" 1390 1761 2086 1949 1652 2803 1691 1714 2009 1233 1013 903
"ENSG00000153140" 84 102 115 26 19 39 121 108 115 158 128 102
"ENSG00000171530" 531 572 692 848 693 1039 570 595 657 951 836 791
"ENSG00000182132" 0 0 0 0 0 0 0 0 1 2 0 0
"ENSG00000113282" 3231 3595 4361 6321 4428 8248 3936 3959 4283 4199 3845 3061
"ENSG00000086200" 679 769 916 471 398 636 744 673 799 639 572 494
"ENSG00000113555" 12 13 15 200 138 309 23 15 31 8 13 6
"ENSG00000113119" 254 339 408 270 157 286 280 305 397 102 130 97
"ENSG00000112983" 1359 1659 1989 2075 1512 2666 1688 1716 1817 645 597 517
"ENSG00000186334" 0 0 0 1 0 1 0 1 0 1 0 0
"ENSG00000244234" 0 0 0 0 0 1 0 0 0 3 2 1
"ENSG00000113712" 1905 2288 2647 2400 1837 3193 2331 2355 2767 2959 2478 1962
"ENSG00000113645" 3114 4121 4973 3167 2272 3996 4806 4841 5474 3044 2707 2031
"ENSG00000158987" 257 263 344 218 159 291 336 381 408 309 281 255
"ENSG00000092421" 44 55 67 68 52 106 60 60 60 19 21 8
"ENSG00000164188" 3 5 10 44 37 82 7 5 13 4 4 3
"ENSG00000152503" 260 288 345 556 417 756 359 381 350 597 559 423
"ENSG00000173210" 141 165 218 101 90 143 255 233 309 271 213 198
"ENSG00000132912" 1587 1778 2228 2139 1590 2655 1961 1896 2139 1845 1711 1311
"ENSG00000145860" 2095 2491 3001 2308 1975 3752 3440 3655 3811 2846 2370 2021
"ENSG00000164591" 0 1 1 1 1 0 2 0 0 12 11 12
"ENSG00000164180" 277 291 384 415 366 649 372 351 414 215 224 124
"ENSG00000131187" 195 315 359 254 177 307 226 238 214 234 178 155
"ENSG00000155545" 380 416 531 592 400 754 458 491 505 1311 1107 891
"ENSG00000145901" 1462 1890 2186 1588 1069 1920 2070 2222 2529 1897 1600 1383
"ENSG00000113048" 1081 1304 1582 1007 691 1291 957 1049 1159 623 532 398
"ENSG00000248383" 1 0 1 0 1 1 2 1 1 0 0 0
"ENSG00000268799" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000171540" 0 0 0 19 10 16 0 1 0 2 0 0
"ENSG00000153922" 1375 1449 1787 2144 1440 2798 1407 1392 1490 1265 1157 832
"ENSG00000039537" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000113407" 9820 11366 13706 10747 7606 13582 11921 11863 13081 12138 10641 8236
"ENSG00000172062" 140 165 172 378 269 508 164 133 136 284 204 161
"ENSG00000251656" 2 0 3 0 0 0 1 1 0 1 0 0
"ENSG00000249516" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250711" 0 0 0 0 0 0 0 0 0 1 1 0
"ENSG00000286656" 43 42 49 10 8 15 67 53 64 8 12 5
"ENSG00000271788" 4 3 6 10 7 10 4 7 9 14 8 12
"ENSG00000251131" 10 18 20 2 3 2 23 15 37 11 8 10
"ENSG00000272382" 1 2 1 1 3 2 1 6 4 4 3 6
"ENSG00000272144" 14 8 9 1 2 4 9 7 13 7 4 2
"ENSG00000278487" 0 1 0 0 0 0 0 0 0 3 0 1
"ENSG00000249779" 0 0 1 0 0 1 0 0 1 29 21 20
"ENSG00000249888" 0 0 0 2 11 4 0 0 0 2 0 0
"ENSG00000247763" 0 0 0 2 3 2 0 0 0 2 0 5
"ENSG00000153113" 3170 3657 4203 3520 2282 4261 3989 3901 4483 4747 4603 3495
"ENSG00000185641" 23 32 44 43 39 57 37 38 45 72 69 62
"ENSG00000272265" 0 1 1 0 1 0 1 0 0 2 0 0
"ENSG00000271918" 14 15 34 36 24 38 26 24 26 7 5 2
"ENSG00000241870" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000214295" 0 0 0 0 0 0 0 0 0 2 0 0
"ENSG00000248560" 3 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000222937" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000206989" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000232174" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238745" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000113013" 14823 16531 20553 20289 15543 27989 16019 15984 17066 13977 12485 10025
"ENSG00000251543" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249149" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251493" 57 115 128 146 97 158 87 92 109 342 272 262
"ENSG00000247993" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251604" 1 2 1 2 2 3 1 2 1 0 3 1
"ENSG00000251324" 0 0 0 0 0 0 0 0 1 2 0 1
"ENSG00000272525" 4 13 18 5 2 7 5 9 12 5 3 2
"ENSG00000255883" 0 1 0 1 1 2 0 1 0 13 15 9
"ENSG00000164331" 72 73 86 31 31 50 131 117 126 66 61 43
"ENSG00000164338" 367 360 462 560 427 790 391 426 459 183 184 110
"ENSG00000253213" 1 4 3 5 3 7 5 8 7 6 2 6
"ENSG00000152700" 1443 1596 1881 1938 1699 3112 1633 1722 1895 1424 1200 985
"ENSG00000207459" 0 0 0 0 0 1 1 0 0 0 0 0
"ENSG00000113615" 1670 1815 2220 2950 2013 3694 2065 2071 2298 4231 3979 3032
"ENSG00000201298" 0 0 0 0 1 0 0 0 0 0 1 0
"ENSG00000222266" 1 0 1 1 1 0 2 0 2 3 4 1
"ENSG00000164615" 596 693 888 1149 906 1518 759 795 870 1144 987 811
"ENSG00000145833" 2954 3198 3921 3684 2780 5061 3731 3754 3994 3774 3423 2675
"ENSG00000241179" 0 0 0 0 1 1 0 0 0 0 0 0
"ENSG00000181904" 1806 1966 2393 1516 1123 2150 2250 2386 2457 2137 1943 1575
"ENSG00000270892" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000113621" 765 893 1057 1053 862 1510 985 1000 1158 612 519 480
"ENSG00000279799" 7 3 12 9 6 9 11 9 3 1 3 3
"ENSG00000288081" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000260581" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000113140" 0 0 0 2 2 0 0 0 2 0 0 0
"ENSG00000249035" 0 0 0 2 1 2 0 0 0 0 0 0
"ENSG00000222102" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000272112" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000177556" 486 631 707 762 657 983 630 619 681 853 680 572
"ENSG00000253921" 8 4 10 1 1 4 3 3 7 3 5 3
"ENSG00000213433" 4 9 9 6 3 7 12 6 6 5 2 4
"ENSG00000145888" 1 4 1 4 4 5 1 1 3 1 2 2
"ENSG00000270978" 0 0 0 3 2 0 0 1 0 9 9 2
"ENSG00000222308" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000201623" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000182631" 0 0 0 4 0 0 0 0 0 0 0 0
"ENSG00000164175" 1 1 0 51 50 92 0 2 1 4 10 7
"ENSG00000250914" 0 0 0 5 0 5 0 0 0 0 0 0
"ENSG00000242110" 38 54 72 45 28 48 45 53 59 28 22 17
"ENSG00000273294" 0 2 1 4 3 2 1 1 2 0 3 3
"ENSG00000250767" 0 0 0 0 0 0 2 0 2 0 0 0
"ENSG00000082196" 10 6 17 35 26 41 11 5 7 6 5 1
"ENSG00000278900" 0 0 1 0 0 1 0 0 0 0 1 0
"ENSG00000279995" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000271771" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243959" 0 2 3 0 0 0 1 2 0 0 0 1
"ENSG00000207420" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000169258" 322 415 579 375 295 526 420 436 516 159 138 124
"ENSG00000074317" 16 19 29 12 22 20 12 12 15 13 15 9
"ENSG00000266329" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000175766" 0 0 0 0 0 0 0 0 0 7 4 5
"ENSG00000048140" 552 740 932 769 585 1041 832 928 1067 849 742 559
"ENSG00000151304" 434 472 562 683 498 839 455 514 546 176 179 142
"ENSG00000113083" 821 935 1128 917 657 1204 1490 1454 1719 1599 1358 1125
"ENSG00000181163" 23786 24390 31983 32189 24654 43055 20742 20722 21116 30213 25831 22503
"ENSG00000164182" 237 260 325 669 464 754 238 248 296 433 353 290
"ENSG00000168671" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000251591" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000164187" 1151 1285 1588 1894 1429 2583 1870 1863 1960 1514 1316 993
"ENSG00000207756" 3 0 3 1 1 0 1 1 2 0 0 0
"ENSG00000201223" 0 1 1 0 0 1 1 0 0 0 1 0
"ENSG00000152620" 1083 1260 1649 577 410 900 1562 1567 1759 942 893 752
"ENSG00000245711" 22 31 23 47 27 53 52 43 45 3 3 1
"ENSG00000145604" 2483 2882 3232 3597 2782 4983 2548 2694 2812 1308 1126 901
"ENSG00000145907" 5853 6705 8040 6958 5391 9729 5842 6170 6740 5609 4853 3828
"ENSG00000259757" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000170561" 0 0 0 0 0 0 0 0 0 3 1 1
"ENSG00000281560" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000169252" 117 145 163 59 43 72 120 118 139 110 113 102
"ENSG00000164287" 1 1 1 1 0 0 0 0 2 3 2 0
"ENSG00000164403" 228 383 460 690 439 749 303 327 386 111 82 64
"ENSG00000112851" 1285 1400 1756 801 514 988 1656 1560 1845 1446 1289 991
"ENSG00000131437" 479 489 612 473 424 643 553 579 628 297 204 190
"ENSG00000155508" 1018 1073 1435 1368 1166 2033 1322 1462 1539 973 836 738
"ENSG00000158985" 1459 1677 2055 1711 1474 2639 2043 2079 2209 1839 1656 1233
"ENSG00000164266" 0 2 4 0 0 2 14 18 20 32 33 18
"ENSG00000050748" 1381 1457 1870 1422 1106 1959 1809 1695 1920 1824 1703 1351
"ENSG00000175325" 0 0 0 0 0 2 0 0 1 0 0 0
"ENSG00000175416" 1305 1765 2096 2572 2052 3329 1464 1544 1750 2692 2162 1957
"ENSG00000197226" 2973 4032 4646 5655 4052 6722 3823 3926 4676 3426 3036 2413
"ENSG00000151881" 423 515 630 553 488 878 538 592 626 385 377 275
"ENSG00000172058" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000156453" 1214 1754 1977 974 707 1174 2196 2197 2611 685 587 473
"ENSG00000082074" 1 0 3 0 0 0 8 7 10 8 6 2
"ENSG00000164172" 357 413 551 409 317 558 473 508 569 605 508 378
"ENSG00000253067" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000227616" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000235775" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000224015" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000237714" 0 0 1 0 1 0 2 1 0 0 2 2
"ENSG00000224431" 8 13 13 3 8 4 22 21 15 276 261 221
"ENSG00000283678" 0 0 0 0 0 0 0 0 0 2 1 0
"ENSG00000131435" 0 0 1 3 1 0 2 1 0 4 7 1
"ENSG00000197208" 117 135 163 79 67 120 144 127 163 111 83 76
"ENSG00000263597" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000206682" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000082213" 1585 1794 2186 2117 1507 2549 1789 1835 2054 1965 1751 1383
"ENSG00000279923" 3 10 15 34 25 52 11 11 10 8 5 4
"ENSG00000199765" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000072682" 843 1009 1240 815 686 1175 1529 1489 1713 3890 3360 2785
"ENSG00000091010" 1 3 3 173 132 229 2 2 7 17 14 7
"ENSG00000271724" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000248842" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000277568" 0 0 0 0 0 0 0 1 1 0 0 0
"ENSG00000250407" 0 0 0 0 0 0 0 0 0 2 4 1
"ENSG00000280646" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000241291" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000113360" 4507 5019 6051 6343 4299 7976 5269 5154 5756 2976 2689 2097
"ENSG00000207222" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251169" 6 19 23 1 0 1 24 25 21 8 8 8
"ENSG00000240250" 0 0 2 0 0 0 0 0 1 0 0 0
"ENSG00000280420" 0 1 1 1 2 2 1 0 0 2 0 0
"ENSG00000156475" 292 422 433 242 143 250 275 282 340 302 250 175
"ENSG00000248568" 0 1 0 0 0 0 0 1 0 3 0 2
"ENSG00000249553" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000286468" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250343" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000285868" 0 0 1 0 0 0 0 2 0 1 0 3
"ENSG00000172568" 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000251405" 0 0 1 0 0 0 1 0 0 1 0 0
"ENSG00000248544" 3 0 2 0 0 3 1 2 4 0 3 0
"ENSG00000253155" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000172548" 0 0 0 0 0 0 0 0 2 2 1 1
"ENSG00000253519" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000247372" 0 1 0 6 2 1 0 2 0 14 13 12
"ENSG00000113161" 1383 1531 1919 3564 2984 5467 1761 1724 1995 2286 2143 1647
"ENSG00000242198" 1 2 1 14 4 9 2 4 7 5 8 5
"ENSG00000050767" 0 0 0 4 3 4 0 0 0 5 5 8
"ENSG00000271681" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000253698" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000242341" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000245688" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000252464" 3 3 3 0 0 0 5 4 3 1 2 0
"ENSG00000176783" 647 894 1064 603 440 717 829 897 927 693 630 555
"ENSG00000249140" 1 0 1 0 0 1 0 0 2 0 0 0
"ENSG00000244945" 6 16 13 22 25 48 8 13 13 2 6 2
"ENSG00000169045" 8258 9231 11287 12042 8977 16045 8803 8873 9414 17459 15671 12476
"ENSG00000273549" 1 0 0 0 0 0 2 1 3 0 0 0
"ENSG00000204661" 3 1 2 4 2 1 0 2 0 4 3 2
"ENSG00000228259" 0 0 0 0 0 1 0 0 0 1 5 1
"ENSG00000250999" 14 16 27 11 8 23 12 20 24 14 13 11
"ENSG00000204659" 5 5 8 0 0 0 3 6 6 0 0 1
"ENSG00000225051" 1 2 1 3 0 2 2 0 1 4 4 2
"ENSG00000127022" 23061 25249 30847 32202 24597 44030 28543 28354 31030 42308 37552 29131
"ENSG00000222178" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000242292" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000274441" 1 0 0 0 1 0 0 1 0 0 1 0
"ENSG00000250155" 2 1 7 1 1 1 17 6 12 4 2 3
"ENSG00000272103" 0 2 5 5 3 0 6 4 9 36 38 32
"ENSG00000285967" 612 642 801 381 274 508 832 813 896 1466 1360 987
"ENSG00000249850" 1 2 3 84 60 117 1 1 3 487 480 332
"ENSG00000248462" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000243744" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251423" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000183876" 0 0 0 0 0 0 0 0 0 2 1 0
"ENSG00000070814" 3789 4908 5939 6716 5043 8457 3697 3890 4369 2880 2532 2038
"ENSG00000286331" 3 0 4 356 201 371 4 1 5 83 74 48
"ENSG00000164587" 12580 15425 19265 18712 16812 28894 13920 14806 15869 22484 18982 18065
"ENSG00000079215" 985 1084 1431 2413 1769 3054 1635 1579 1789 1636 1481 1160
"ENSG00000094880" 1247 1532 1808 1520 1113 2022 1432 1485 1703 893 744 654
"ENSG00000146013" 1 0 1 2 7 6 3 1 0 7 9 2
"ENSG00000249851" 0 0 0 1 0 0 0 0 0 1 1 0
"ENSG00000158402" 257 316 378 175 142 244 309 329 315 269 267 193
"ENSG00000120709" 879 1156 1244 1660 1295 2152 1165 1214 1406 868 766 614
"ENSG00000249971" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000120733" 2154 2583 3065 1531 1130 2054 2918 2934 3361 1346 1209 927
"ENSG00000271196" 0 0 0 1 0 1 0 0 0 1 1 1
"ENSG00000120738" 31 35 37 143 86 151 87 88 80 53572 43753 37748
"ENSG00000241458" 0 0 0 0 0 1 0 0 0 2 2 2
"ENSG00000197603" 4735 5029 6353 3072 2262 3968 6372 6367 6873 5926 5522 4135
"ENSG00000285914" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000253110" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000185662" 0 1 0 16 12 25 0 0 0 1 0 0
"ENSG00000072803" 1672 1939 2306 2209 1808 3211 2216 2228 2433 1934 1790 1437
"ENSG00000197536" 64 77 101 44 35 83 73 74 104 111 90 79
"ENSG00000238160" 0 1 0 4 5 6 0 0 2 2 1 2
"ENSG00000202533" 2 1 3 1 0 2 4 4 2 5 6 9
"ENSG00000113525" 0 0 0 0 0 0 0 0 0 1 1 1
"ENSG00000251183" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000261382" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000055147" 451 472 551 204 145 307 506 470 541 506 434 366
"ENSG00000037749" 1184 1227 1551 2077 1735 3050 1436 1405 1523 1077 922 754
"ENSG00000125347" 315 403 482 258 181 327 490 522 549 318 291 229
"ENSG00000248493" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000176087" 1903 2440 2986 2497 1811 3031 2138 2276 2609 652 607 440
"ENSG00000283602" 0 1 0 1 1 1 0 0 1 2 0 1
"ENSG00000200275" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000286690" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000253370" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254163" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000199468" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000231989" 0 1 1 0 1 1 0 1 1 0 2 2
"ENSG00000170624" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000086189" 204 227 259 219 163 293 217 185 226 149 134 95
"ENSG00000226544" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000223497" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000206770" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249085" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000263593" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000242602" 0 1 1 1 0 2 0 0 0 1 1 0
"ENSG00000271926" 0 1 2 0 0 1 1 1 1 1 1 0
"ENSG00000272081" 3 2 3 2 1 1 1 0 2 1 1 0
"ENSG00000251467" 0 0 0 0 0 8 0 0 0 2 3 1
"ENSG00000248930" 0 0 0 1 0 0 0 0 0 0 0 2
"ENSG00000184349" 318 329 399 613 445 786 440 430 469 150 124 85
"ENSG00000249959" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000248827" 0 0 0 0 0 0 1 0 0 0 1 0
"ENSG00000239708" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251732" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249577" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000271766" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250859" 1 1 0 0 0 0 0 0 0 2 3 2
"ENSG00000164244" 2331 2537 3231 5116 3618 6531 3064 3109 3246 1297 1166 972
"ENSG00000282925" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000248799" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000251032" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000250603" 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000204928" 1 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000134058" 432 451 608 992 742 1293 548 583 555 763 635 509
"ENSG00000183323" 216 215 263 175 121 228 257 254 273 163 132 123
"ENSG00000213830" 4 1 3 42 25 53 4 1 2 18 26 18
"ENSG00000215006" 1 1 3 4 6 5 1 2 4 5 3 1
"ENSG00000271045" 0 0 0 0 0 0 0 0 0 1 2 0
"ENSG00000085231" 201 243 301 220 165 315 232 245 254 127 123 90
"ENSG00000152942" 271 339 368 340 246 465 382 383 371 291 259 161
"ENSG00000152939" 84 66 93 242 184 296 75 68 61 53 57 37
"ENSG00000244717" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249295" 0 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000266477" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000212260" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000183474" 113 124 191 54 46 76 125 143 135 59 59 43
"ENSG00000197822" 3 5 2 5 5 9 4 7 7 25 21 12
"ENSG00000113396" 21 24 32 30 20 26 34 21 33 21 24 12
"ENSG00000248634" 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000288697" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000066583" 906 1004 1176 1258 1004 1802 987 1047 1125 1061 947 810
"ENSG00000264563" 0 0 0 0 4 0 0 0 1 0 0 0
"ENSG00000286274" 0 0 0 0 0 1 1 0 0 0 0 0
"ENSG00000206077" 79 94 128 89 71 106 134 101 137 50 61 40
"ENSG00000250448" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000248403" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000248150" 1 1 3 31 27 40 0 2 0 20 19 12
"ENSG00000249737" 0 0 1 8 1 12 1 1 0 8 8 7
"ENSG00000173545" 1404 1752 2093 4806 3708 6166 1793 1929 2028 1827 1585 1344
"ENSG00000250415" 2 1 1 0 1 0 2 3 2 2 0 1
"ENSG00000201370" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000288622" 0 0 0 1 0 0 0 0 0 1 0 1
"ENSG00000171617" 23 36 45 54 43 78 46 54 66 281 253 181
"ENSG00000256235" 184 191 251 265 228 405 211 212 239 320 273 237
"ENSG00000112893" 2264 2559 3246 2528 1908 3584 2952 2866 3191 2438 2098 1631
"ENSG00000113739" 895 1012 1284 5310 4081 6889 2508 2603 2790 2539 2064 1779
"ENSG00000182613" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000177721" 58 83 88 55 32 59 71 91 90 40 44 38
"ENSG00000113108" 267 323 360 114 87 195 311 292 364 178 136 122
"ENSG00000169777" 0 0 0 0 0 2 0 0 0 0 0 0
"ENSG00000146094" 50 67 68 449 296 507 53 57 65 114 101 86
"ENSG00000249541" 0 0 0 0 0 0 0 0 0 0 0 0
